Start,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Stop,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,
Step,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,
Fixed/Offset, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
XAxis,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,
YAxis,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,

113.800,7.02321355E-4,6.14821387E-4,-6.62892871E-3,-3.35392868E-3,1.46482151E-3,-2.35178886E-4,-3.86017910E-3,-1.80392840E-3,-1.31642877E-3,-5.26642893E-3,-2.47983471E-3,-5.38608432E-3,-1.00483443E-3,-5.41108474E-3,8.20165500E-4,-6.15483429E-3,-5.26108453E-3,-1.43608416E-3,-2.19858414E-3,-4.21108445E-3,-2.09858408E-3,-4.83412305E-6,-6.16733404E-3,-2.94858473E-3,-3.34858429E-3,-8.22983403E-3,-5.61733497E-3,-3.75483418E-3,-7.68608460E-3,-5.27983485E-3,7.66552967E-6,
114.00,8.39821412E-4,8.96071433E-4,-8.94767884E-3,-3.37267877E-3,-2.59767892E-3,-3.35392891E-3,-4.91642859E-3,-6.19767886E-3,-3.42892855E-3,-3.73517885E-3,-1.92334133E-4,-3.54858441E-3,-3.77983460E-3,-4.85483464E-3,-5.79834159E-4,-4.72358428E-3,4.95165878E-4,-1.18608435E-3,-3.26733431E-3,-9.01733525E-3,8.88915383E-4,-8.79834231E-4,-6.36084238E-4,-4.29233443E-3,4.57665883E-4,-9.92358476E-3,-1.31108402E-3,-4.76733455E-3,-5.54858521E-3,-4.23608487E-3,-6.00483455E-3,
114.200,-1.19142851E-3,-1.82267872E-3,-3.27892881E-3,-7.92267919E-3,-6.07892917E-3,-4.03517857E-3,-2.59142905E-3,-3.62892891E-3,-4.35392931E-3,-5.51017839E-3,-4.98584472E-4,-2.01733457E-3,1.27641577E-3,-2.11733440E-3,-8.29834316E-4,-6.77358452E-3,-4.62358445E-3,1.14516600E-3,-2.97983433E-3,-5.84233506E-3,-5.73584228E-4,-3.31108435E-3,-4.82983468E-3,1.87641568E-3,2.97641591E-3,2.07665653E-4,-6.67334243E-4,1.32665969E-4,-7.71108456E-3,-7.14858482E-3,-4.22358466E-3,
114.400,-3.66428489E-4,-3.35392845E-3,-4.99142893E-3,-6.16428733E-4,2.41482165E-3,-5.19767869E-3,4.77321446E-4,-4.54142923E-3,-3.21642892E-3,-6.24142867E-3,1.18266605E-3,-5.53608453E-3,-5.47983497E-3,-7.23584380E-4,-3.08608403E-3,9.20165912E-4,-2.95483437E-3,-3.16108484E-3,-3.24858422E-3,-4.64233430E-3,-6.15483476E-3,-3.50483437E-3,-5.29233413E-3,-1.95483444E-3,-3.81733500E-3,-9.77358408E-3,-4.00483469E-3,-1.36733439E-3,-5.40483464E-3,-7.86733534E-3,-4.66733426E-3,
114.600,-2.89767841E-3,-4.76017874E-3,-4.77267941E-3,-1.04767899E-3,-1.22892880E-3,-3.52267874E-3,-9.35178832E-4,-4.02267836E-3,-3.21017858E-3,-4.11017891E-3,-1.24233414E-3,-5.67334355E-4,-3.91733460E-3,-3.30483448E-3,-4.79834329E-4,-3.11733433E-3,-6.17334445E-4,1.52016559E-3,-3.86733422E-3,-4.22983430E-3,9.82665690E-4,-4.57358453E-3,-6.36108499E-3,-2.44233455E-3,3.63915664E-4,-3.63608450E-3,-3.79858422E-3,-1.48584179E-4,-6.25483459E-3,-6.82983501E-3,-1.71108427E-3,
114.800,2.14607129E-3,-4.24142880E-3,-5.19142859E-3,-5.13517857E-3,-5.53928665E-4,-2.51642871E-3,-3.17892898E-3,-1.71017880E-3,-4.91642905E-3,-2.02892860E-3,1.07641600E-3,-1.18608435E-3,-2.89233448E-3,2.64516613E-3,-2.28608446E-3,-4.82358458E-3,1.30141573E-3,-2.34858436E-3,4.20165801E-4,-9.55483504E-3,-5.45483455E-3,-9.85844090E-5,-5.56733459E-3,2.01657422E-5,-7.48584338E-4,-3.96108441E-3,3.63915780E-4,1.79516559E-3,-4.17358428E-3,-8.02983437E-3,-3.14858463E-3,
115.00,1.52321387E-4,-4.89767874E-3,-4.18517878E-3,-4.21642931E-3,-8.55392963E-3,-4.51642834E-3,-5.78517886E-3,-2.56642886E-3,-3.18517862E-3,-1.53517874E-3,2.53266585E-3,1.07665735E-4,-3.53608443E-3,3.32016544E-3,-2.04233453E-3,-6.73584524E-4,-6.84858486E-3,1.90766586E-3,9.13915806E-4,-2.76108412E-3,3.51415772E-4,-1.62358466E-3,-6.54834497E-4,-6.04834233E-4,-1.51108450E-3,-3.06108454E-3,-9.48584289E-4,-6.11084397E-4,-5.39233396E-3,1.39158683E-5,-1.32983411E-3,
115.200,1.48982159E-3,-8.16428568E-4,-5.72267920E-3,1.58982142E-3,-3.95392859E-3,3.21071420E-4,-3.16017866E-3,-2.54142890E-3,-1.76642847E-3,-4.41642944E-3,2.12641619E-3,-2.70483433E-3,-3.39858420E-3,-2.39858450E-3,-7.17334449E-4,-5.17334440E-4,-5.62983518E-3,7.01658573E-5,-4.74858424E-3,-3.06733442E-3,-3.29233473E-3,-2.34858459E-3,-3.92334128E-4,-1.24858436E-3,-3.94858466E-3,-4.63608466E-3,-5.42358495E-3,-1.49233430E-3,-7.11733382E-3,-5.67334064E-4,-2.43608444E-3,
115.400,-2.03517848E-3,4.60857153E-3,-2.24142871E-3,-1.59767887E-3,-2.64767907E-3,-3.71642900E-3,-6.04767911E-3,-5.15392935E-3,-4.66017891E-3,-5.26642893E-3,7.32665707E-4,-2.24858453E-3,1.70141575E-3,2.07641581E-3,-1.54233444E-3,-3.71108437E-3,-1.22358417E-3,-9.11084353E-4,7.26415601E-4,-4.89233434E-3,-1.49858487E-3,-2.17334411E-4,-3.74858431E-3,-5.22983447E-3,-5.36108483E-3,-2.09858431E-3,-2.22358457E-3,-5.37358457E-3,-6.32358482E-3,-1.19233434E-3,-4.44233464E-3,
115.600,-1.04767852E-3,-1.86642853E-3,-5.85392863E-3,-1.86642876E-3,2.33982177E-3,-4.26642876E-3,-2.55392888E-3,-5.29767945E-3,-1.82267861E-3,-3.44767864E-3,-7.86084507E-4,2.95165752E-4,1.60766568E-3,1.02016574E-3,1.18266570E-3,-2.49858457E-3,-1.39858434E-3,-3.81108467E-3,-3.83608416E-3,-8.29834142E-4,3.28891608E-3,-4.59233485E-3,-2.51108455E-3,-1.64858415E-3,-1.42983417E-3,-2.19233427E-3,-3.90483462E-3,-6.67334243E-4,-2.13608402E-3,-6.24858402E-3,-1.43608428E-3,
